"name","category","size","duration","format","profile","hdr","bitrate","framerate","resolution","audios","subtitles","audio_langs","subtitle_langs"
"The Incredibles (2004) [imdbid-tt0317705] - [WEBDL-1080p][AC3 5.1][x264]-SOFCJ.mkv","movies","5.28 GiB","01:50:54","AVC","Progressive High","-","6000 kb/s","25.000","1920x806","[ru, AC-3, 384 kb/s, 6ch, default]; [en, AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Return of the Jedi (1983) [imdbid-tt0086190] - [WEBDL-1080p][EAC3 5.1][x264].mkv","movies","6.21 GiB","02:09:23","AVC","Progressive High","-","6000 kb/s","25.000","1920x804","[ru, E-AC-3, 448 kb/s, 6ch, default]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Pirates of the Caribbean Dead Men Tell No Tales (2017) [imdbid-tt1790809] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","8.93 GiB","02:09:17","AVC","Progressive High","-","6000 kb/s","23.976","1920x1080","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3 Blu-ray Disc, 1536 kb/s, 8ch]; [ru, AC-3 Blu-ray Disc, 1536 kb/s, 8ch]; [en, E-AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"The Lord of the Rings The Two Towers (2002) [imdbid-tt0167261] - [WEBDL-1080p][DTS 2.0][x264].mkv","movies","29.75 GiB","03:55:23","AVC","High","-","11574 kb/s","23.976","1920x804","[ru, DTS, 1509 kb/s, 2ch, default]; [ru, AC-3, 384 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [ru, E-AC-3, 768 kb/s, 6ch]; [en, E-AC-3, 768 kb/s, 6ch, default]","[ru, ASS]; [ru, SRT]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
"Harry Potter and the Philosophers Stone (2001) [imdbid-tt0241527] - {Extended Cut} [Bluray-1080p][AC3 5.1][x264]-SOFCJ.mkv","movies","16.78 GiB","02:38:50","AVC","High","-","12000 kb/s","23.976","1920x800","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, AC-3, 384 kb/s, 6ch]; [ru, AC-3, 384 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT, default]; [ru, SRT]; [en, SRT, default]; [en, SRT]; [en, SRT]; [en, SRT]","en,ru","en,ru"
"Pirates of the Caribbean On Stranger Tides (2011) [imdbid-tt1298650] - [WEBDL-1080p][AC3 5.1][x264].mkv","movies","8.67 GiB","02:16:51","AVC","Progressive High","-","6000 kb/s","23.976","1920x800","[ru, AC-3, 640 kb/s, 6ch, default]; [ru, E-AC-3, 1024 kb/s, 8ch]; [ru, E-AC-3, 1024 kb/s, 8ch]; [en, E-AC-3, 448 kb/s, 6ch, default]; [en, AC-3, 192 kb/s, 2ch]","[ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]; [en, SRT]; [en, SRT]","en,ru","en,ru"
"The Revenant (2015) [imdbid-tt1663202] - [WEBDL-1080p][AC3 5.1][h264].mkv","movies","6.14 GiB","02:30:00","AVC","High","-","5019 kb/s","25.000","1920x1080","[ru, AC-3, 384 kb/s, 6ch, default]; [en, AC-3, 448 kb/s, 6ch, default]","[ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"Ratatouille (2007) [imdbid-tt0382932] - [Bluray-1080p][EAC3 5.1][x264]-hallowed.mkv","movies","6.73 GiB","01:50:33","AVC","High","-","8000 kb/s","23.976","1920x804","[en, E-AC-3, 640 kb/s, 6ch, default]","[en, SRT, default]; [en, PGS]; [en, PGS]","en","en"
"Zootopia 2 (2025) [imdbid-tt26443597] - [WEBDL-1080p][AC3 5.1][h264].mkv","movies","6.0 GiB","01:47:38","AVC","High","-","6690 kb/s","24.000","1920x800","[ru, AC-3, 640 kb/s, 6ch, default]; [en, E-AC-3, 640 kb/s, 6ch, default]","[ru, SRT, default|forced]; [ru, SRT]; [en, SRT, default]","en,ru","en,ru"
"The Hobbit An Unexpected Journey (2012) [imdbid-tt0903624] - {Extended Cut} [Bluray-1080p][AC3 5.1][x264].mkv","movies","24.59 GiB","03:02:31","AVC","High","-","-","23.976","1920x800","[ru, AC-3, 448 kb/s, 6ch, default]; [ru, DTS, 1509 kb/s, 6ch]; [ru, DTS, 1509 kb/s, 6ch]; [en, DTS, 1509 kb/s, 6ch, default]","[ru, SRT, default]; [ru, SRT]; [ru, SRT]; [en, SRT, default]; [en, SRT]","en,ru","en,ru"
